% Model:              busbar.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 9 2026, 15:22
% Dimension:          3
% Nodes:              7360
% Expressions:        3
% Description:        Electric potential, Temperature, Displacement magnitude
% Length unit:        m
% x                       y                        z                        V (V)                    T (K)                    solid.disp (m)
0.09749999999999999       0                        0.1                      0.007558257066818403     323.579913754068         3.094530807416057E-5
0.09749832836307981       0                        0.0982785671072233       0.007558234797668596     323.5808013243837        2.9985853329530594E-5
0.09999999999999999       0                        0.1                      0.007558259299411097     323.5794030914156        3.0860123778585776E-5
0.0974921171408749        -0.0018986501956436864   0.1                      0.007558283534846806     323.5806450262981        3.052437162947182E-5
0.095                     0                        0.1                      0.007558256975853824     323.5794111068841        3.110710262975019E-5
0.09999999999999999       -0.002941176470588236    0.1                      0.007558309484111285     323.5805814286052        3.021728990479718E-5
0.09999999999999998       -0.00210419760703385     0.09814967236273618      0.007558266837772581     323.58122691108525       2.9344307542001227E-5
0.09749388674282988       -0.003362005375884012    0.09834487126816449      0.007558306682564239     323.5820721834408        2.9273175193820506E-5
0.09748777348565973       -0.0044036734126696895   0.1                      0.007558373288020475     323.5816288513984        3.000927323939314E-5
0.09499999999999999       -0.002941176470588236    0.1                      0.007558308358078677     323.5805656118194        3.046874142962204E-5
0.09999999999999999       0                        0.09705710435115979      0.007558203621623921     323.5812037297846        2.922013257677902E-5
0.09749999999999998       -0.0023203373390983722   0.096689742536329        0.007558222102593457     323.5829451215293        2.8564088761824072E-5
0.09499999999999999       -0.001915678654659292    0.09778310342798319      0.007558253098625322     323.5813976425106        2.9439817229787633E-5
0.09499999999999999       0                        0.09705710435115977      0.007558203982662814     323.5812080283586        2.9479993840966517E-5
0.1                       -0.004484213895290293    0.0979477748371079       0.007558358274698541     323.58226773169343       2.872391563956762E-5
0.09999999999999999       -0.0058823529411764705   0.1                      0.00755846227469191      323.5817266545345        2.964029986011685E-5
0.09999999999999998       -0.008823529411764707    0.1                      0.007558686409962088     323.58287596685165       2.9133137642141896E-5
0.09741975372343045       -0.0073529411764705795   0.1                      0.007558566493292479     323.5827749902701        2.9469432551208293E-5
0.09999999999999998       -0.007331447125788324    0.09766160094467517      0.007558544341940628     323.5836334865327        2.8011320830823873E-5
0.09749599384115433       0                        0.09553824624927834      0.007558130480585929     323.5831190927615        2.84744354859267E-5
0.09749999999999996       -0.005975272240532376    0.09747454649090927      0.0075584361738814465    323.5837062996791        2.8246555125828332E-5
0.09499999999999997       -0.0058823529411764705   0.1                      0.0075584597375431195    323.58173068249465       2.989530479160219E-5
0.09812499999999998       -0.006001634861457107    0.09537142244001486      0.00755836514602086      323.5856285407871        2.699843655222468E-5
0.09999999999999999       -0.002724996023537449    0.09559638164467488      0.007558180021300167     323.58365063929074       2.7766244664698903E-5
0.09499999999999999       -0.004619097355276436    0.09728749203714328      0.007558347047182488     323.5828026287676        2.8583901320388873E-5
0.09749999999999996       -0.0042567857055380775   0.09577657514264266      0.007558268981560489     323.5845648647437        2.7623566354623836E-5
0.09875                   -0.004522791830621992    0.09449467682558023      0.007558219680744288     323.58589147435947       2.6781169492612294E-5
0.1                       0                        0.09411420870231957      0.0075580297915410904    323.5842731130974        2.760329921480534E-5
0.09749999999999996       -0.002538299170543779    0.09407860379437603      0.00755808178974332      323.5857663000918        2.7056304369004298E-5
0.095                     -0.002119152911292424    0.09536995015781904      0.007558152902975983     323.58363350355114       2.8051282701881093E-5
0.09499999999999999       0                        0.09411420870231955      0.007558030941958091     323.58428029909686       2.7877222703444093E-5
0.09499999999999999       -0.007576840191835178    0.0974450805187294       0.007558558601779656     323.5838965936086        2.810983685270296E-5
0.09499999999999997       -0.008823529411764707    0.1                      0.007558685627692317     323.5828818904249        2.93927947205736E-5
0.09741975372343045       -0.010294117647058837    0.1                      0.007558820234633557     323.5839194227596        2.9000958248249145E-5
0.0974598768617152        -0.009270851095167223    0.09805761242995896      0.00755871755272969      323.5845531076482        2.8005238341217887E-5
0.0974197537234305        -0.01323529411764706     0.1                      0.007559105625759252     323.58491652107494       2.8611630796108907E-5
0.09499999999999999       -0.011764705882352943    0.1                      0.007558960041498733     323.58396253006913       2.8965614991280196E-5
0.09747993843085762       -0.011253072606407146    0.09773868307669473      0.007558906831252109     323.58557787725834       2.7511582858168727E-5
0.09999999999999999       -0.011764705882352943    0.1                      0.007558959921300413     323.5839559693009        2.8703145397692102E-5
0.1                       -0.010317765080326042    0.09746578102336384      0.007558810310401163     323.5848988364146        2.73958485670272E-5
0.1                       -0.006006604304655653    0.09529266015719534      0.0075583610453730295    323.5852493453213        2.6890017129225096E-5
0.09749999999999998       -0.0074804778922922185   0.09624816805444951      0.007558523107474449     323.58539628674197       2.7252505967612127E-5
0.09999999999999999       -0.008941811595719374    0.09517191974662761      0.007558633898918865     323.58663191222786       2.6266233368207848E-5
0.09749969545147409       0                        0.09260574591282614      0.0075578932806417845    323.58679115342824       2.6881268712279342E-5
0.09999999999999998       -0.004788797955705926    0.09321277850851785      0.007558147792324012     323.58739334535124       2.596028656438709E-5
0.09499999999999999       -0.006803347853994871    0.09536604569275864      0.007558435939821347     323.5855426661705        2.705337811041186E-5
0.0965625                 -0.005307101479839017    0.09468715131237002      0.007558282717311971     323.5860403380214        2.6840748894127474E-5
0.09750000000000002       -0.006782606074240287    0.09392835437606158      0.007558365970545092     323.58777413765364       2.6045392326149583E-5
0.09999999999999999       -0.0025901837127051187   0.09239617624950193      0.007557927262870563     323.58765859403803       2.601446579752712E-5
0.09749999999999999       -0.004017066261905808    0.09374139951254158      0.007558133290957073     323.5868292991108        2.652743324847871E-5
0.09499999999999999       -0.004612568098220887    0.09400288018472522      0.007558192558038277     323.58620942545446       2.672951730106278E-5
0.09999999999999999       0                        0.09117131305347934      0.007557730306646404     323.58851516904025       2.6013578039028206E-5
0.09749999999999999       -0.003777346818273539    0.09170622388244053      0.007557932574205175     323.5897071448578        2.544668306884123E-5
0.09749843186234818       -0.0018886734091367932   0.090683276802095        0.0075577070094718       323.5905507964514        2.5353045758166674E-5
0.095                     -0.0023516023175501086   0.09256082594407723      0.0075579368586919495    323.58731111031864       2.6451182925189303E-5
0.09499999999999999       0                        0.09117131305347932      0.0075577302184137414    323.5885165741693        2.6303022066458123E-5
0.09499999999999997       -0.010436564033306513    0.09730684443381034      0.007558821431615248     323.5850803544136        2.7556759838414114E-5
0.09499999999999999       -0.009127384435626735    0.09520368302554376      0.00755865603334084      323.5866431415711        2.6535202363380812E-5
0.09624999999999999       -0.008272145693938469    0.09379291910645877      0.007558512390846527     323.5883882519711        2.5762613608729056E-5
0.09749999999999993       -0.011188761013863832    0.0961152248599179       0.0075588895627904116    323.587001030909         2.6553009964133805E-5
0.09624999999999996       -0.010378276800057644    0.09490828768893424      0.007558784530784014     323.58778164102876       2.6047720474424932E-5
0.09499999999999997       -0.014705882352941175    0.1                      0.007559246724412695     323.58491176198913       2.8618304926826847E-5
0.09750000000000003       -0.013235294117647067    0.09741975372343048      0.007559108781376961     323.5864426402686        2.705249649743623E-5
0.09999999999999999       -0.014705882352941175    0.1                      0.007559246630552257     323.5849122245732        2.8352317236980296E-5
0.09745987686171524       -0.015808823529411774    0.09806481529257288      0.007559359823661152     323.586829563543         2.7156391073266956E-5
0.09741975372343048       -0.016176470588235292    0.1                      0.007559385244761194     323.585872992353         2.8302608528628862E-5
0.095                     -0.01323529411764706     0.0974197537234305       0.007559109401550659     323.58602678205773       2.7234954373414228E-5
0.1                       -0.01323529411764706     0.0974197537234305       0.007559109381732667     323.5860347123447        2.6958201138313956E-5
0.09999999999999998       -0.011940957994421129    0.09492360528602536      0.007558966430779048     323.58811437038594       2.5636266292120387E-5
0.09749999999999999       -0.010687043768727388    0.09429352575619476      0.007558809505945914     323.5888766930673        2.5551545287004687E-5
